65.001,1311,1774513185.93835
65.101,1336,1774513186.03835
65.201,1392,1774513186.13835
65.301,1389,1774513186.23835
65.401,1391,1774513186.33835
65.501,1398,1774513186.43835
65.601,1386,1774513186.53835
65.701,1381,1774513186.63835
65.801,1390,1774513186.73835
65.901,1418,1774513186.83835
66.001,1437,1774513186.93835
66.101,1476,1774513187.03835
66.201,1519,1774513187.13835
66.301,1546,1774513187.23835
66.401,1523,1774513187.33835
66.501,1511,1774513187.43835
66.601,1483,1774513187.53835
66.701,1472,1774513187.63835
66.801,1429,1774513187.73835
66.901,1410,1774513187.83835
67.001,1386,1774513187.93835
67.101,1359,1774513188.03835
67.201,1296,1774513188.13835
67.301,1252,1774513188.23835
67.401,1211,1774513188.33835
67.501,1203,1774513188.43835
67.601,1225,1774513188.53835
67.701,1248,1774513188.63835
67.801,1277,1774513188.73835
67.901,1332,1774513188.83835
68.001,1368,1774513188.93835
68.101,1408,1774513189.03835
68.201,1417,1774513189.13835
68.301,1416,1774513189.23835
68.401,1406,1774513189.33835
68.501,1399,1774513189.43835
68.601,1381,1774513189.53835
68.701,1368,1774513189.63835
68.801,1380,1774513189.73835
68.901,1389,1774513189.83835
69.001,1393,1774513189.93835
69.101,1396,1774513190.03835
69.201,1421,1774513190.13835
69.301,1447,1774513190.23835
69.401,1474,1774513190.33835
69.501,1492,1774513190.43835
69.601,1520,1774513190.53835
69.701,1543,1774513190.63835
69.801,1584,1774513190.73835
69.901,1597,1774513190.83835
70.001,1586,1774513190.93835
70.101,1578,1774513191.03835
70.201,1551,1774513191.13835
70.301,1520,1774513191.23835
70.401,1507,1774513191.33835
70.501,1494,1774513191.43835
70.601,1473,1774513191.53835
70.701,1468,1774513191.63835
70.801,1494,1774513191.73835
70.901,1456,1774513191.83835
71.001,1451,1774513191.93835
71.101,1510,1774513192.03835
71.201,1451,1774513192.13835
71.301,1456,1774513192.23835
71.401,1451,1774513192.33835
71.501,1469,1774513192.43835
71.601,1442,1774513192.53835
71.701,1445,1774513192.63835
71.801,1408,1774513192.73835
71.901,1398,1774513192.83835
72.001,1378,1774513192.93835
72.101,1337,1774513193.03835
72.201,1330,1774513193.13835
72.301,1317,1774513193.23835
72.401,1322,1774513193.33835
72.501,1340,1774513193.43835
72.601,1348,1774513193.53835
72.701,1380,1774513193.63835
72.801,1399,1774513193.73835
72.901,1452,1774513193.83835
73.001,1427,1774513193.93835
73.101,1451,1774513194.03835
73.201,1458,1774513194.13835
73.301,1451,1774513194.23835
73.401,1439,1774513194.33835
73.501,1444,1774513194.43835
73.601,1421,1774513194.53835
73.701,1385,1774513194.63835
73.801,1362,1774513194.73835
73.901,1346,1774513194.83835
74.001,1325,1774513194.93835
74.101,1292,1774513195.03835
